Bacteria,Fago
mtb_h37ra,MarQuardt
mtb_h37ra,SweetiePie
mtb_h37ra,Larenn
mtb_h37ra,Taurus
mtb_h37ra,Marie
mtb_h37ra,Malinsilva
mtb_h37ra,Hercules11
mtb_h37ra,EvilGenius
mtb_h37ra,ChipMunk
mtb_h37ra,Penny1
mtb_h37ra,Aglet
mtb_h37ra,Pukovnik
mtb_h37ra,Jobu08
mtb_h37ra,Turbido
mtb_h37ra,Trixie
mtb_h37ra,Kampy
mtb_h37ra,Phantastic
m_ulcerans ,Barnyard
mtb_h37rv,Eagle
mtb_h37rv,Vix
mtb_h37rv,LHTSCC
mtb_h37rv,Medusa
mtb_h37rv,Anubis
mtb_h37rv,BellusTerra
mtb_h37rv,Melvin
mtb_h37rv,Obama12
mtb_h37rv,Equemioh13
mtb_h37rv,Tiffany
mtb_h37rv,Piro94
mtb_h37rv,MarQuardt
mtb_h37rv,SweetiePie
mtb_h37rv,Larenn
mtb_h37rv,Taurus
mtb_h37rv,Marie
mtb_h37rv,Malinsilva
mtb_h37rv,Hercules11
mtb_h37rv,EvilGenius
mtb_h37rv,ChipMunk
mtb_h37rv,Penny1
mtb_h37rv,Aglet
mtb_h37rv,Pukovnik
mtb_h37rv,Jobu08
mtb_h37rv,Turbido
mtb_h37rv,Trixie
mtb_h37rv,Kampy
mtb_h37rv,Phantastic
m_abscessus,Melvin
m_abscessus,Turbido
m_intracellulare,Chy5
m_intracellulare,Chy4
m_liflandii,Barnyard
m_shigaense,Chy5
m_shigaense,Chy4
m_stephanolepidis,Melvin
m_stephanolepidis,CaptainTrips
m_stephanolepidis,Ovechkin
m_stephanolepidis,Xfactor 
m_stephanolepidis,Brocalys
m_stephanolepidis,Fruitloop
m_stephanolepidis,Saal
m_stephanolepidis,SG4
m_stephanolepidis,Turbido
m_stephanolepidis,Cerasum
m_stephanolepidis,Xfactor  
m_phlei,Eagle
m_phlei,Vix
m_phlei,LHTSCC
m_phlei,Medusa
m_phlei,Anubis
m_phlei,BellusTerra
m_phlei,Obama12
m_phlei,Equemioh13
m_phlei,Tiffany
m_phlei,Piro94
m_phlei,MarQuardt
m_phlei,SweetiePie
m_phlei,Larenn
m_phlei,Taurus
m_phlei,Marie
m_phlei,Malinsilva
m_phlei,Hercules11
m_phlei,EvilGenius
m_phlei,ChipMunk
m_phlei,Penny1
m_phlei,Aglet
m_phlei,Pukovnik
m_phlei,Jobu08
m_phlei,Trixie
m_phlei,Kampy
m_phlei,Phantastic
m_avium_ssp_paratuberculosis_MAP,Chy5
m_avium_ssp_paratuberculosis_MAP,Chy4
mtb_c,Bactobuster
mtb_c,SWU1
mtb_haarlem,Bactobuster
mtb_haarlem,SWU1
m_microti,Bactobuster
m_microti,SWU1
m_bovis,Bactobuster
m_bovis,SWU1
m_africanum,Bactobuster
m_africanum,SWU1
m_bovis_bcg,Bactobuster
m_bovis_bcg,SWU1
m_leprae,Brujita
m_leprae,Island3
m_leprae,Brusacoram
m_leprae,Shipwreck
m_leprae,Fishburne
m_leprae,Donovan 
m_leprae,BigNuz
m_leprae,Babsiella
m_leprae,Malithi
m_marinum,Chy5
m_marinum,Chy4
m_ssp_jls,Chy5
m_ssp_jls,Chy4
m_ssp_jls,32HC
m_ssp_kms,Chy5
m_ssp_kms,Chy4
m_ssp_kms,32HC
m_ssp_mcs,Chy5
m_ssp_mcs,Chy4
m_ssp_mcs,32HC
mtb_cdc1551,Bactobuster
mtb_cdc1551,SWU1
mtb_f11,Bactobuster
mtb_f11,SWU1
mtb_h37ra,Bactobuster
mtb_h37ra,SWU1
m_ulcerans ,Chy5
m_ulcerans ,Chy4
m_vanbaalenii,Brujita
m_vanbaalenii,Island3
m_vanbaalenii,Brusacoram
m_vanbaalenii,Shipwreck
m_vanbaalenii,Giles
m_vanbaalenii,Fishburne
